spike_source,source,feature_type,decode_window_s,update_dt_s,n_units,target_name,target_family,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,sorted,counts,0.05,0.025,200,movement_state,categorical,logistic_regression,16799,7200,,,,,,,,,,,,,,,0.5670833333333334,0.5452514078306533,0.4695475195053705,"[[2156, 732, 148], [1193, 1790, 885], [11, 148, 137]]","['fast', 'slow', 'still']"
sorted,sorted,counts,0.05,0.025,200,movement_state,categorical,random_forest_classifier,16799,7200,,,,,,,,,,,,,,,0.5447222222222222,0.5511790095722923,0.4510938543241744,"[[2378, 534, 124], [1547, 1393, 928], [24, 121, 151]]","['fast', 'slow', 'still']"
sorted,sorted,counts,0.05,0.025,200,wall_distance_bin,categorical,logistic_regression,16799,7200,,,,,,,,,,,,,,,0.7198611111111111,0.6998504673561882,0.6249735349702225,"[[301, 74, 15], [310, 990, 494], [124, 1000, 3892]]","['center', 'middle', 'near_wall']"
sorted,sorted,counts,0.05,0.025,200,wall_distance_bin,categorical,random_forest_classifier,16799,7200,,,,,,,,,,,,,,,0.7184722222222222,0.6700920043597388,0.5913368196379074,"[[308, 54, 28], [367, 700, 727], [158, 693, 4165]]","['center', 'middle', 'near_wall']"
sorted,sorted,counts,0.05,0.025,200,wall_distance_bin,categorical,bayesian_place_decoder_derived_context,16799,7200,,,,,,,,,,,,,,,0.7219444444444445,0.6451613921293555,0.6090073316963172,"[[4155, 789, 72], [772, 781, 241], [21, 107, 262]]","['near_wall', 'middle', 'center']"
sorted,sorted,counts,0.25,0.025,200,position,continuous,ridge,16793,7198,13.965908207841913,12.182740170971002,25.793548053104992,0.8718296663079425,0.8829917251828013,,,,,,,,,,,,,,
sorted,sorted,counts,0.25,0.025,200,position,continuous,pca_ridge,16793,7198,13.998786004444764,12.238485402090902,25.618971883456602,0.8721272502990361,0.8822271424817462,,,,,,,,,,,,,,
sorted,sorted,counts,0.25,0.025,200,position,continuous,random_forest_regressor,16793,7198,14.09949039126026,9.884999552560632,29.374887099409445,0.8192238885555228,0.8229224282378029,,,,,,,,,,,,,,
sorted,sorted,counts,0.25,0.025,200,position,continuous,bayesian_place_decoder,16793,7198,12.092394800195827,10.029118644729035,23.929549186602475,0.8448740760752333,0.9396109937731207,,,,,,,,,,,,,,
sorted,sorted,counts,0.25,0.025,200,speed,continuous,ridge,16793,7198,,,,,,0.5004566890544395,0.7143047159647982,2.930971972660097,3.6640913689541783,,,,,,,,,,
sorted,sorted,counts,0.25,0.025,200,speed,continuous,pca_ridge,16793,7198,,,,,,0.5026761621294709,0.7165074044799711,2.926038770391391,3.6559425206950844,,,,,,,,,,
sorted,sorted,counts,0.25,0.025,200,speed,continuous,random_forest_regressor,16793,7198,,,,,,0.436352813457878,0.6733955949784545,3.100504683977768,3.8920946454219365,,,,,,,,,,
sorted,sorted,counts,0.25,0.025,200,acceleration,continuous,ridge,16793,7198,,,,,,0.00028626426363453916,0.0857875381730457,34.95442498115041,56.7311898046032,,,,,,,,,,
sorted,sorted,counts,0.25,0.025,200,acceleration,continuous,pca_ridge,16793,7198,,,,,,0.001564722924054518,0.08622017445194614,34.74566984115094,56.69490357537049,,,,,,,,,,
sorted,sorted,counts,0.25,0.025,200,acceleration,continuous,random_forest_regressor,16793,7198,,,,,,0.0037874687620607084,0.07489749247095494,33.58015894916411,56.63176048614231,,,,,,,,,,
sorted,sorted,counts,0.25,0.025,200,head_direction,continuous,ridge,16793,7198,,,,,,,,,,15.44530985091637,12.892198135351867,32.267638088411594,,,,,,,
sorted,sorted,counts,0.25,0.025,200,head_direction,continuous,pca_ridge,16793,7198,,,,,,,,,,15.407987546242788,12.842877074431549,32.079140897054806,,,,,,,
sorted,sorted,counts,0.25,0.025,200,head_direction,continuous,random_forest_regressor,16793,7198,,,,,,,,,,18.03733092832751,14.86330501939996,37.75037049335488,,,,,,,
sorted,sorted,counts,0.25,0.025,200,distance_to_wall,continuous,ridge,16793,7198,,,,,,0.71285402736431,0.8477170507857525,,,,,,4.14383345394049,5.279994132773229,,,,,
sorted,sorted,counts,0.25,0.025,200,distance_to_wall,continuous,pca_ridge,16793,7198,,,,,,0.7159298120749058,0.8503889333632242,,,,,,4.128036885791049,5.2516394794174825,,,,,
sorted,sorted,counts,0.25,0.025,200,distance_to_wall,continuous,random_forest_regressor,16793,7198,,,,,,0.806069402921842,0.8991176529354995,,,,,,3.0258920009474637,4.339155784809479,,,,,
sorted,sorted,counts,0.25,0.025,200,distance_to_wall,continuous,bayesian_place_decoder,16793,7198,,,,,,0.5936174611115901,0.8263098326420767,,,,,,3.9848006686700104,6.281300848732423,,,,,
sorted,sorted,counts,0.25,0.025,200,spatial_context,categorical,logistic_regression,16793,7198,,,,,,,,,,,,,,,0.7809113642678521,0.7807984928446888,0.7806522657646884,"[[1123, 24, 187], [79, 3017, 612], [108, 567, 1481]]","['center', 'corner', 'wall']"
sorted,sorted,counts,0.25,0.025,200,spatial_context,categorical,random_forest_classifier,16793,7198,,,,,,,,,,,,,,,0.8357877188107807,0.8171161603244105,0.8253809165213918,"[[1141, 42, 151], [112, 3426, 170], [60, 647, 1449]]","['center', 'corner', 'wall']"
sorted,sorted,counts,0.25,0.025,200,spatial_context,categorical,bayesian_place_decoder_derived_context,16793,7198,,,,,,,,,,,,,,,0.7574326201722701,0.689365747414913,0.7225653626498127,"[[805, 270, 259], [24, 1089, 1043], [8, 142, 3558]]","['center', 'wall', 'corner']"
sorted,sorted,counts,0.25,0.025,200,movement_state,categorical,logistic_regression,16793,7198,,,,,,,,,,,,,,,0.635593220338983,0.5339240243663863,0.5039059469465116,"[[2232, 755, 49], [1043, 2260, 565], [13, 198, 83]]","['fast', 'slow', 'still']"
sorted,sorted,counts,0.25,0.025,200,movement_state,categorical,random_forest_classifier,16793,7198,,,,,,,,,,,,,,,0.6990830786329536,0.5107253248555991,0.5150659153658254,"[[2288, 748, 0], [1081, 2722, 65], [6, 266, 22]]","['fast', 'slow', 'still']"
sorted,sorted,counts,0.25,0.025,200,wall_distance_bin,categorical,logistic_regression,16793,7198,,,,,,,,,,,,,,,0.8594053903862184,0.7788462390775912,0.7731756986016429,"[[257, 129, 4], [108, 1383, 303], [23, 445, 4546]]","['center', 'middle', 'near_wall']"
sorted,sorted,counts,0.25,0.025,200,wall_distance_bin,categorical,random_forest_classifier,16793,7198,,,,,,,,,,,,,,,0.8680188941372603,0.7992151889240042,0.8077718534057855,"[[320, 70, 0], [90, 1103, 601], [0, 189, 4825]]","['center', 'middle', 'near_wall']"
sorted,sorted,counts,0.25,0.025,200,wall_distance_bin,categorical,bayesian_place_decoder_derived_context,16793,7198,,,,,,,,,,,,,,,0.7867463184217838,0.6648948755450551,0.6422889280291998,"[[4894, 120, 0], [1106, 475, 213], [5, 91, 294]]","['near_wall', 'middle', 'center']"
