unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad,rate_model,ratinabox_class,subfield,cell_class,deep_superficial_coordinate,deep_superficial_group,proximodistal_coordinate,dorsoventral_coordinate,baseline_rate_hz,burst_index,waveform_width_ms,theta_modulation_strength,ripple_participation_probability,spatial_tuning_strength,head_direction_tuning_strength,speed_tuning_strength,boundary_tuning_strength,proximodistal_group,dorsoventral_group,projection_target,metadata_schema_version
51,CA1_pyr,CA1,pyramidal,22,420.0,41.98027545712855,81.58089302665488,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
52,CA1_pyr,CA1,pyramidal,9,160.0,54.790231433993874,80.36561246063329,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
53,CA1_pyr,CA1,pyramidal,17,320.0,69.30418783452575,80.70377206978578,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
54,CA1_pyr,CA1,pyramidal,28,540.0,77.85796885162837,77.12572162701031,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
55,CA1_pyr,CA1,pyramidal,9,160.0,93.71322579414932,81.60272123045222,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
56,CA1_pyr,CA1,pyramidal,22,420.0,6.255120200196663,90.37365638145548,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
57,CA1_pyr,CA1,pyramidal,5,80.0,17.289897786928883,93.79918786019591,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
58,CA1_pyr,CA1,pyramidal,10,180.0,29.813700468701825,89.61921953055703,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
59,CA1_pyr,CA1,pyramidal,30,580.0,39.85894121944551,97.60851797349808,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
60,CA1_pyr,CA1,pyramidal,13,240.0,55.61865507664272,98.25880825131745,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
61,CA1_pyr,CA1,pyramidal,16,300.0,65.48893493095099,91.8455049219272,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
62,CA1_pyr,CA1,pyramidal,9,160.0,83.64284762843864,97.03478098434482,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
63,CA1_pyr,CA1,pyramidal,4,60.0,94.96635334592472,93.71581912846696,0.0,ratinabox_PlaceCells,PlaceCells,CA1,excitatory,0.5,intermediate,,,,,,,,,,,,unknown,unknown,unknown,phase1
