unit_id,cell_type,region,layer,channel,depth_um,place_x_cm,place_y_cm,hd_pref_rad,rate_model,ratinabox_class
122,CA3_pyr,CA3,pyramidal,68,1340.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
123,CA3_pyr,CA3,pyramidal,41,800.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
124,CA3_pyr,CA3,pyramidal,66,1300.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
125,CA3_pyr,CA3,pyramidal,60,1180.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
126,CA3_pyr,CA3,pyramidal,48,940.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
127,CA3_pyr,CA3,pyramidal,62,1220.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
128,CA3_pyr,CA3,pyramidal,53,1040.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
129,CA3_pyr,CA3,pyramidal,66,1300.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
130,CA3_pyr,CA3,pyramidal,70,1380.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
131,CA3_pyr,CA3,pyramidal,49,960.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
132,CA3_pyr,CA3,pyramidal,55,1080.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
133,CA3_pyr,CA3,pyramidal,47,920.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
134,CA3_pyr,CA3,pyramidal,61,1200.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
135,CA3_pyr,CA3,pyramidal,60,1180.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
136,CA3_pyr,CA3,pyramidal,66,1300.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
137,CA3_pyr,CA3,pyramidal,65,1280.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
138,CA3_pyr,CA3,pyramidal,70,1380.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
139,CA3_pyr,CA3,pyramidal,69,1360.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
140,CA3_pyr,CA3,pyramidal,67,1320.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
141,CA3_pyr,CA3,pyramidal,45,880.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
142,CA3_pyr,CA3,pyramidal,42,820.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
143,CA3_pyr,CA3,pyramidal,55,1080.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
144,CA3_pyr,CA3,pyramidal,51,1000.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
145,CA3_pyr,CA3,pyramidal,67,1320.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
146,CA3_pyr,CA3,pyramidal,64,1260.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
147,CA3_pyr,CA3,pyramidal,53,1040.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
148,CA3_pyr,CA3,pyramidal,58,1140.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
149,CA3_pyr,CA3,pyramidal,58,1140.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
150,CA3_pyr,CA3,pyramidal,67,1320.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
151,CA3_pyr,CA3,pyramidal,41,800.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
152,CA3_pyr,CA3,pyramidal,55,1080.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
153,CA3_pyr,CA3,pyramidal,61,1200.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
154,CA3_pyr,CA3,pyramidal,54,1060.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
155,CA3_pyr,CA3,pyramidal,68,1340.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
156,CA3_pyr,CA3,pyramidal,69,1360.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
157,CA3_pyr,CA3,pyramidal,65,1280.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
158,CA3_pyr,CA3,pyramidal,54,1060.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
159,CA3_pyr,CA3,pyramidal,67,1320.0,,,0.0,ratinabox_BoundaryVectorCells,BoundaryVectorCells
160,DG_granule,DG,granule,73,1440.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
161,DG_granule,DG,granule,90,1780.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
162,DG_granule,DG,granule,79,1560.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
163,DG_granule,DG,granule,78,1540.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
164,DG_granule,DG,granule,91,1800.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
165,DG_granule,DG,granule,94,1860.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
166,DG_granule,DG,granule,97,1920.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
167,DG_granule,DG,granule,77,1520.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
168,DG_granule,DG,granule,97,1920.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
169,DG_granule,DG,granule,95,1880.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
170,DG_granule,DG,granule,80,1580.0,,,0.0,ratinabox_SpeedCells_fallback,SpeedCells_fallback
