spike_source,feature_type,decode_window_s,update_dt_s,n_units,target_name,decoder_name,n_train_samples,n_test_samples,mean_position_error_cm,median_position_error_cm,p90_position_error_cm,r2_x,r2_y,r2,correlation,mae,rmse,mean_circular_error_deg,median_circular_error_deg,p90_circular_error_deg,mae_cm,rmse_cm,accuracy,balanced_accuracy,macro_f1,confusion_matrix,class_labels
sorted,counts,0.25,0.025,200,acceleration,random_forest_regressor,16793,7198,,,,,,0.0037874687620608194,0.07489749247095497,33.58015894916411,56.6317604861423,,,,,,,,,,
sorted,counts,0.25,0.025,200,head_direction,ridge,16793,7198,,,,,,,,,,15.44530985091637,12.892198135351867,32.267638088411594,,,,,,,
sorted,counts,0.25,0.025,200,head_direction,random_forest_regressor,16793,7198,,,,,,,,,,18.03733092832751,14.86330501939996,37.750370493354886,,,,,,,
sorted,counts,0.25,0.025,200,distance_to_wall,ridge,16793,7198,,,,,,0.71285402736431,0.8477170507857525,,,,,,4.14383345394049,5.279994132773229,,,,,
sorted,counts,0.25,0.025,200,distance_to_wall,random_forest_regressor,16793,7198,,,,,,0.806069402921842,0.8991176529354995,,,,,,3.0258920009474632,4.339155784809478,,,,,
sorted,counts,0.25,0.025,200,spatial_context,logistic_regression,16793,7198,,,,,,,,,,,,,,,0.7809113642678521,0.7807984928446888,0.7806522657646884,"[[1123, 24, 187], [79, 3017, 612], [108, 567, 1481]]","['center', 'corner', 'wall']"
sorted,counts,0.25,0.025,200,spatial_context,random_forest_classifier,16793,7198,,,,,,,,,,,,,,,0.8357877188107807,0.8171161603244105,0.8253809165213918,"[[1141, 42, 151], [112, 3426, 170], [60, 647, 1449]]","['center', 'corner', 'wall']"
sorted,counts,0.25,0.025,200,movement_state,logistic_regression,16793,7198,,,,,,,,,,,,,,,0.635593220338983,0.5339240243663863,0.5039059469465116,"[[2232, 755, 49], [1043, 2260, 565], [13, 198, 83]]","['fast', 'slow', 'still']"
sorted,counts,0.25,0.025,200,movement_state,random_forest_classifier,16793,7198,,,,,,,,,,,,,,,0.6990830786329536,0.5107253248555991,0.5150659153658254,"[[2288, 748, 0], [1081, 2722, 65], [6, 266, 22]]","['fast', 'slow', 'still']"
sorted,counts,0.25,0.025,200,wall_distance_bin,logistic_regression,16793,7198,,,,,,,,,,,,,,,0.8594053903862184,0.7788462390775912,0.7731756986016429,"[[257, 129, 4], [108, 1383, 303], [23, 445, 4546]]","['center', 'middle', 'near_wall']"
sorted,counts,0.25,0.025,200,wall_distance_bin,random_forest_classifier,16793,7198,,,,,,,,,,,,,,,0.8680188941372603,0.7992151889240042,0.8077718534057855,"[[320, 70, 0], [90, 1103, 601], [0, 189, 4825]]","['center', 'middle', 'near_wall']"
sorted,counts,0.5,0.025,200,position,ridge,16786,7195,11.538843716473915,10.183854519124658,21.133194838985688,0.9131278029348198,0.9191675244687292,,,,,,,,,,,,,,
sorted,counts,0.5,0.025,200,position,random_forest_regressor,16786,7195,9.019739059070174,6.393919847442339,18.60058051068957,0.9197835676851226,0.9298070737095168,,,,,,,,,,,,,,
